[s],CH2[V],CH3[V]
-9.8070E-05,6.67969E-02,-1.86719E-03
-8.7990E-05,5.97656E-02,-2.11719E-03
-7.7910E-05,5.58594E-02,-1.91406E-03
-6.7830E-05,5.82031E-02,-1.50781E-03
-5.7750E-05,5.66406E-02,-1.17969E-03
-4.7670E-05,4.64844E-02,-6.48437E-04
-3.7590E-05,5.58594E-02,-3.67187E-04
-2.7510E-05,6.83594E-02,-2.89062E-04
-1.7430E-05,6.67969E-02,8.59375E-05
-7.3503E-06,6.05469E-02,-1.32812E-04
2.7297E-06,3.00781E-02,1.49219E-03
1.2810E-05,4.29688E-03,2.61719E-03
2.2890E-05,4.96094E-02,7.91406E-03
3.2970E-05,2.56211E+00,1.71820E-01
4.3050E-05,4.25898E+00,2.89055E-01
5.3130E-05,4.83008E+00,3.26117E-01
6.3210E-05,5.01445E+00,3.36008E-01
7.3290E-05,5.04180E+00,3.33086E-01
8.3370E-05,4.99336E+00,3.25398E-01
9.3450E-05,4.93711E+00,3.17711E-01
1.0353E-04,4.86680E+00,3.07945E-01
1.1361E-04,4.77539E+00,2.97945E-01
1.2369E-04,4.70508E+00,2.88211E-01
1.3377E-04,4.60273E+00,2.76914E-01
1.4385E-04,4.48555E+00,2.65508E-01
1.5393E-04,4.36992E+00,2.54727E-01
1.6401E-04,4.23555E+00,2.42289E-01
1.7409E-04,4.11055E+00,2.29742E-01
1.8417E-04,3.99336E+00,2.18523E-01
1.9425E-04,3.86758E+00,2.07477E-01
2.0433E-04,3.71836E+00,1.95992E-01
2.1441E-04,3.56680E+00,1.83742E-01
2.2449E-04,3.43164E+00,1.72242E-01
2.3457E-04,3.29258E+00,1.61023E-01
2.4465E-04,3.14102E+00,1.49461E-01
2.5473E-04,2.99180E+00,1.38445E-01
2.6481E-04,2.83320E+00,1.26148E-01
2.7489E-04,2.67695E+00,1.15930E-01
2.8497E-04,2.51367E+00,1.05523E-01
2.9505E-04,2.38008E+00,9.76172E-02
3.0513E-04,2.23164E+00,8.86172E-02
3.1521E-04,2.08867E+00,8.00703E-02
3.2529E-04,1.94883E+00,7.16172E-02
3.3537E-04,1.81367E+00,6.46797E-02
3.4545E-04,1.67852E+00,5.68047E-02
3.5553E-04,1.54102E+00,5.03203E-02
3.6561E-04,1.41836E+00,4.52422E-02
3.7569E-04,1.30898E+00,3.94922E-02
3.8577E-04,1.19414E+00,3.39766E-02
3.9585E-04,1.08789E+00,2.88984E-02
4.0593E-04,9.98047E-01,2.54609E-02
4.1601E-04,8.85547E-01,2.27422E-02
4.2609E-04,7.96484E-01,1.90078E-02
4.3617E-04,7.09766E-01,1.63828E-02
4.4625E-04,6.16797E-01,1.25078E-02
4.5633E-04,5.30859E-01,1.02891E-02
4.6641E-04,4.37109E-01,8.14844E-03
4.7649E-04,3.81641E-01,6.77344E-03
4.8657E-04,3.19922E-01,6.39844E-03
4.9665E-04,2.40234E-01,5.44531E-03
5.0673E-04,9.25781E-02,3.97656E-03
5.1681E-04,1.60156E-02,3.14844E-03
5.2689E-04,-2.73437E-03,2.53906E-03
5.3697E-04,1.56641E-01,4.86719E-03
5.4705E-04,4.02734E-01,1.11641E-02
5.5713E-04,5.04297E-01,1.68203E-02
5.6721E-04,5.79297E-01,2.33984E-02
5.7729E-04,6.19141E-01,3.03828E-02
5.8737E-04,6.87891E-01,3.82422E-02
5.9745E-04,7.74609E-01,4.58672E-02
6.0753E-04,8.41016E-01,5.36797E-02
6.1761E-04,9.54297E-01,6.26328E-02
6.2769E-04,1.04727E+00,7.13828E-02
6.3777E-04,1.13320E+00,7.95234E-02
6.4785E-04,1.24102E+00,8.98359E-02
6.5793E-04,1.36367E+00,1.00477E-01
6.6801E-04,1.47617E+00,1.10742E-01
6.7809E-04,1.60430E+00,1.21227E-01
6.8817E-04,1.73320E+00,1.31711E-01
6.9825E-04,1.86055E+00,1.42336E-01
7.0833E-04,1.98711E+00,1.52633E-01
