[s],CH3[V]
1.3000E-05,2.67578E-03
1.3100E-05,2.62109E-03
1.3200E-05,2.73047E-03
1.3300E-05,2.58203E-03
1.3400E-05,2.91797E-03
1.3500E-05,2.61328E-03
1.3600E-05,2.74609E-03
1.3700E-05,2.65234E-03
1.3800E-05,2.78516E-03
1.3900E-05,2.85547E-03
1.4000E-05,2.80078E-03
1.4100E-05,2.73047E-03
1.4200E-05,2.96484E-03
1.4300E-05,2.96484E-03
1.4400E-05,3.07422E-03
1.4500E-05,2.82422E-03
1.4600E-05,2.79297E-03
1.4700E-05,3.05859E-03
1.4800E-05,2.99609E-03
1.4900E-05,3.00391E-03
1.5000E-05,2.98828E-03
1.5100E-05,3.08203E-03
1.5200E-05,2.77734E-03
1.5300E-05,2.90234E-03
1.5400E-05,3.04297E-03
1.5500E-05,3.04297E-03
1.5600E-05,3.21484E-03
1.5700E-05,3.06641E-03
1.5800E-05,3.13672E-03
1.5900E-05,3.14453E-03
1.6000E-05,3.11328E-03
1.6100E-05,3.01172E-03
1.6200E-05,2.93359E-03
1.6300E-05,3.16797E-03
1.6400E-05,3.18359E-03
1.6500E-05,3.20703E-03
1.6600E-05,3.23828E-03
1.6700E-05,3.30859E-03
1.6800E-05,3.27734E-03
1.6900E-05,3.27734E-03
1.7000E-05,3.10547E-03
1.7100E-05,3.17578E-03
1.7200E-05,3.18359E-03
1.7300E-05,3.24609E-03
1.7400E-05,3.31641E-03
1.7500E-05,3.33203E-03
1.7600E-05,3.36328E-03
1.7700E-05,3.41797E-03
1.7800E-05,3.39453E-03
1.7900E-05,3.27734E-03
1.8000E-05,3.43359E-03
1.8100E-05,3.45703E-03
1.8200E-05,3.31641E-03
1.8300E-05,3.61328E-03
1.8400E-05,3.49609E-03
1.8500E-05,3.52734E-03
1.8600E-05,3.30859E-03
1.8700E-05,3.57422E-03
1.8800E-05,3.38672E-03
1.8900E-05,3.60547E-03
1.9000E-05,3.54297E-03
1.9100E-05,3.59766E-03
1.9200E-05,3.66797E-03
1.9300E-05,3.62891E-03
1.9400E-05,3.24609E-03
1.9500E-05,3.55859E-03
1.9600E-05,3.66016E-03
1.9700E-05,3.59766E-03
1.9800E-05,3.46484E-03
1.9900E-05,3.43359E-03
2.0000E-05,3.47266E-03
2.0100E-05,3.45703E-03
2.0200E-05,3.52734E-03
2.0300E-05,3.66016E-03
2.0400E-05,3.60547E-03
2.0500E-05,3.73047E-03
2.0600E-05,3.66016E-03
2.0700E-05,3.49609E-03
2.0800E-05,3.59766E-03
2.0900E-05,3.73047E-03
2.1000E-05,3.83984E-03
2.1100E-05,3.75391E-03
2.1200E-05,3.64453E-03
2.1300E-05,3.66797E-03
2.1400E-05,3.70703E-03
2.1500E-05,3.55859E-03
2.1600E-05,3.63672E-03
2.1700E-05,3.76953E-03
2.1800E-05,3.68359E-03
2.1900E-05,3.70703E-03
2.2000E-05,3.46484E-03
2.2100E-05,3.73047E-03
2.2200E-05,3.56641E-03
2.2300E-05,3.91797E-03
2.2400E-05,3.91797E-03
2.2500E-05,3.75391E-03
2.2600E-05,3.73828E-03
2.2700E-05,3.74609E-03
2.2800E-05,3.99609E-03
2.2900E-05,3.73047E-03
2.3000E-05,3.67578E-03
2.3100E-05,3.80859E-03
2.3200E-05,3.74609E-03
2.3300E-05,3.76953E-03
2.3400E-05,3.66016E-03
2.3500E-05,3.87891E-03
2.3600E-05,3.81641E-03
2.3700E-05,4.08984E-03
2.3800E-05,3.91016E-03
2.3900E-05,3.80859E-03
2.4000E-05,3.87109E-03
2.4100E-05,3.81641E-03
2.4200E-05,3.87891E-03
2.4300E-05,3.68359E-03
2.4400E-05,3.91797E-03
2.4500E-05,3.87891E-03
2.4600E-05,3.94141E-03
2.4700E-05,3.87109E-03
2.4800E-05,4.01172E-03
2.4900E-05,3.95703E-03
2.5000E-05,4.05859E-03
2.5100E-05,3.89453E-03
2.5200E-05,3.85547E-03
2.5300E-05,3.74609E-03
2.5400E-05,3.94922E-03
2.5500E-05,4.01172E-03
2.5600E-05,3.81641E-03
2.5700E-05,3.99609E-03
2.5800E-05,4.01953E-03
2.5900E-05,4.01953E-03
2.6000E-05,4.08203E-03
2.6100E-05,3.94141E-03
2.6200E-05,4.05859E-03
2.6300E-05,4.09766E-03
2.6400E-05,3.95703E-03
2.6500E-05,3.91797E-03
2.6600E-05,3.98828E-03
2.6700E-05,4.08203E-03
2.6800E-05,4.13672E-03
2.6900E-05,3.92578E-03
2.7000E-05,3.77734E-03
2.7100E-05,4.06641E-03
2.7200E-05,3.91016E-03
2.7300E-05,3.99609E-03
2.7400E-05,3.91016E-03
2.7500E-05,3.92578E-03
2.7600E-05,3.91797E-03
2.7700E-05,4.03516E-03
2.7800E-05,3.87891E-03
2.7900E-05,4.02734E-03
2.8000E-05,4.03516E-03
2.8100E-05,3.98047E-03
2.8200E-05,3.92578E-03
2.8300E-05,3.85547E-03
2.8400E-05,3.92578E-03
2.8500E-05,3.66016E-03
2.8600E-05,3.49609E-03
2.8700E-05,3.78516E-03
2.8800E-05,3.66797E-03
2.8900E-05,3.76953E-03
2.9000E-05,3.82422E-03
2.9100E-05,3.98047E-03
2.9200E-05,4.40234E-03
2.9300E-05,4.86328E-03
2.9400E-05,5.28516E-03
2.9500E-05,6.04297E-03
2.9600E-05,6.91797E-03
2.9700E-05,7.76172E-03
2.9800E-05,8.66797E-03
2.9900E-05,9.34766E-03
3.0000E-05,9.96484E-03
3.0100E-05,1.07148E-02
3.0200E-05,1.12695E-02
3.0300E-05,1.19883E-02
3.0400E-05,1.24336E-02
3.0500E-05,1.28008E-02
3.0600E-05,1.32148E-02
3.0700E-05,1.36836E-02
3.0800E-05,1.44492E-02
3.0900E-05,1.50508E-02
3.1000E-05,1.57617E-02
3.1100E-05,1.67383E-02
3.1200E-05,1.74180E-02
3.1300E-05,1.86992E-02
3.1400E-05,2.00586E-02
3.1500E-05,2.15352E-02
3.1600E-05,2.31367E-02
3.1700E-05,2.49570E-02
3.1800E-05,2.66602E-02
3.1900E-05,2.90195E-02
3.2000E-05,3.12070E-02
3.2100E-05,3.38086E-02
3.2200E-05,3.62461E-02
3.2300E-05,3.88555E-02
3.2400E-05,4.16836E-02
3.2500E-05,4.48398E-02
3.2600E-05,4.77617E-02
3.2700E-05,5.11133E-02
3.2800E-05,5.44023E-02
3.2900E-05,5.80898E-02
3.3000E-05,6.16602E-02
3.3100E-05,6.52383E-02
3.3200E-05,6.88008E-02
3.3300E-05,7.26758E-02
3.3400E-05,7.64414E-02
3.3500E-05,8.07070E-02
3.3600E-05,8.46836E-02
3.3700E-05,8.87930E-02
3.3800E-05,9.28867E-02
3.3900E-05,9.71758E-02
3.4000E-05,1.01723E-01
3.4100E-05,1.05793E-01
3.4200E-05,1.10137E-01
3.4300E-05,1.14590E-01
3.4400E-05,1.18887E-01
3.4500E-05,1.23605E-01
3.4600E-05,1.28020E-01
3.4700E-05,1.32527E-01
3.4800E-05,1.36980E-01
3.4900E-05,1.41348E-01
3.5000E-05,1.45871E-01
3.5100E-05,1.50316E-01
3.5200E-05,1.54965E-01
3.5300E-05,1.59082E-01
3.5400E-05,1.63410E-01
3.5500E-05,1.67559E-01
3.5600E-05,1.71785E-01
3.5700E-05,1.76051E-01
3.5800E-05,1.80113E-01
3.5900E-05,1.84176E-01
3.6000E-05,1.88340E-01
3.6100E-05,1.92105E-01
3.6200E-05,1.95668E-01
3.6300E-05,1.99441E-01
3.6400E-05,2.03074E-01
3.6500E-05,2.06566E-01
3.6600E-05,2.09949E-01
3.6700E-05,2.13535E-01
3.6800E-05,2.16746E-01
3.6900E-05,2.19691E-01
3.7000E-05,2.22730E-01
3.7100E-05,2.25551E-01
3.7200E-05,2.28285E-01
3.7300E-05,2.30941E-01
3.7400E-05,2.33184E-01
3.7500E-05,2.35715E-01
3.7600E-05,2.37699E-01
3.7700E-05,2.39848E-01
3.7800E-05,2.41809E-01
3.7900E-05,2.43645E-01
3.8000E-05,2.45395E-01
3.8100E-05,2.47051E-01
3.8200E-05,2.48230E-01
3.8300E-05,2.49566E-01
3.8400E-05,2.50715E-01
3.8500E-05,2.51324E-01
3.8600E-05,2.52160E-01
3.8700E-05,2.52738E-01
3.8800E-05,2.52910E-01
3.8900E-05,2.53449E-01
3.9000E-05,2.53480E-01
3.9100E-05,2.53340E-01
3.9200E-05,2.53121E-01
3.9300E-05,2.52543E-01
3.9400E-05,2.51840E-01
3.9500E-05,2.51230E-01
3.9600E-05,2.50059E-01
3.9700E-05,2.49207E-01
3.9800E-05,2.47863E-01
3.9900E-05,2.46012E-01
4.0000E-05,2.44691E-01
4.0100E-05,2.42824E-01
4.0200E-05,2.40895E-01
4.0300E-05,2.38879E-01
4.0400E-05,2.36457E-01
4.0500E-05,2.33715E-01
4.0600E-05,2.31488E-01
4.0700E-05,2.28965E-01
4.0800E-05,2.25887E-01
4.0900E-05,2.22699E-01
4.1000E-05,2.19340E-01
4.1100E-05,2.16066E-01
4.1200E-05,2.12574E-01
4.1300E-05,2.08629E-01
4.1400E-05,2.04816E-01
4.1500E-05,2.01051E-01
4.1600E-05,1.96910E-01
4.1700E-05,1.92934E-01
4.1800E-05,1.88488E-01
4.1900E-05,1.84051E-01
4.2000E-05,1.79426E-01
4.2100E-05,1.74684E-01
4.2200E-05,1.69957E-01
4.2300E-05,1.65145E-01
4.2400E-05,1.59871E-01
4.2500E-05,1.55051E-01
4.2600E-05,1.49746E-01
4.2700E-05,1.44395E-01
4.2800E-05,1.39160E-01
4.2900E-05,1.33527E-01
4.3000E-05,1.27980E-01
4.3100E-05,1.22379E-01
4.3200E-05,1.17020E-01
4.3300E-05,1.10973E-01
4.3400E-05,1.05316E-01
4.3500E-05,9.96055E-02
4.3600E-05,9.37695E-02
4.3700E-05,8.82070E-02
4.3800E-05,8.23945E-02
4.3900E-05,7.63789E-02
4.4000E-05,7.05820E-02
4.4100E-05,6.47383E-02
4.4200E-05,5.90195E-02
4.4300E-05,5.30820E-02
4.4400E-05,4.71289E-02
4.4500E-05,4.14258E-02
4.4600E-05,3.58555E-02
4.4700E-05,3.01992E-02
4.4800E-05,2.46055E-02
4.4900E-05,1.89336E-02
4.5000E-05,1.29727E-02
4.5100E-05,7.28516E-03
4.5200E-05,1.48828E-03
4.5300E-05,-4.21484E-03
4.5400E-05,-9.88672E-03
4.5500E-05,-1.53086E-02
4.5600E-05,-2.06445E-02
4.5700E-05,-2.59102E-02
4.5800E-05,-3.09180E-02
4.5900E-05,-3.60586E-02
4.6000E-05,-4.09336E-02
4.6100E-05,-4.60898E-02
4.6200E-05,-5.10898E-02
4.6300E-05,-5.55664E-02
4.6400E-05,-6.01289E-02
4.6500E-05,-6.47773E-02
4.6600E-05,-6.92539E-02
4.6700E-05,-7.37148E-02
4.6800E-05,-7.78633E-02
4.6900E-05,-8.23320E-02
4.7000E-05,-8.63555E-02
4.7100E-05,-9.01992E-02
4.7200E-05,-9.39727E-02
4.7300E-05,-9.75117E-02
4.7400E-05,-1.01020E-01
4.7500E-05,-1.04613E-01
4.7600E-05,-1.08043E-01
4.7700E-05,-1.10871E-01
4.7800E-05,-1.13762E-01
4.7900E-05,-1.16371E-01
4.8000E-05,-1.18863E-01
4.8100E-05,-1.21363E-01
4.8200E-05,-1.23598E-01
